"NormType","SubjectBid","Grade","CoeffX","Index","x1","x2","x3","x4"
"2020",1,0,1,"1_0_1",116.4122401,-49.3251542,0,NA
"2020",1,0,2,"1_0_2",-49.3251542,258.9369887,0,NA
"2020",1,0,3,"1_0_3",0,0,0,NA
"2020",1,1,1,"1_1_1",111.3268188,7.923396,-0.1332487,-0.3600791
"2020",1,1,2,"1_1_2",7.923396,30.090789,0.3937244,-0.7092236
"2020",1,1,3,"1_1_3",-0.1332487,0.3937244,0.0280595,-0.0084374
"2020",1,1,4,"1_1_4",-0.3600791,-0.7092236,-0.0084374,0.0411199
"2020",1,2,1,"1_2_1",126.0245774,1.394189,-0.2337391,-0.0539519
"2020",1,2,2,"1_2_2",1.394189,21.2882139,0.2744378,-0.4454651
"2020",1,2,3,"1_2_3",-0.2337391,0.2744378,0.0250558,-0.0045791
"2020",1,2,4,"1_2_4",-0.0539519,-0.4454651,-0.0045791,0.0299468
"2020",1,3,1,"1_3_1",136.2957493,1.0657638,-0.112934,0.2062337
"2020",1,3,2,"1_3_2",1.0657638,16.5317271,0.2704416,-0.3635056
"2020",1,3,3,"1_3_3",-0.112934,0.2704416,0.0212635,-0.0040359
"2020",1,3,4,"1_3_4",0.2062337,-0.3635056,-0.0040359,0.0271624
"2020",1,4,1,"1_4_1",153.8915905,10.2116566,0.1476504,0.150771
"2020",1,4,2,"1_4_2",10.2116566,14.8314485,0.2380459,-0.3188242
"2020",1,4,3,"1_4_3",0.1476504,0.2380459,0.0214783,-0.0010134
"2020",1,4,4,"1_4_4",0.150771,-0.3188242,-0.0010134,0.0271221
"2020",1,5,1,"1_5_1",167.8579819,12.2497702,0.2431471,-0.0038079
"2020",1,5,2,"1_5_2",12.2497702,17.0321619,0.1851274,-0.3156153
"2020",1,5,3,"1_5_3",0.2431471,0.1851274,0.0239069,0.002731
"2020",1,5,4,"1_5_4",-0.0038079,-0.3156153,0.002731,0.0271761
"2020",1,6,1,"1_6_1",189.8949178,10.8111967,0.2826992,-0.1638593
"2020",1,6,2,"1_6_2",10.8111967,18.4032001,0.2232315,-0.3347297
"2020",1,6,3,"1_6_3",0.2826992,0.2232315,0.0225651,-0.0045658
"2020",1,6,4,"1_6_4",-0.1638593,-0.3347297,-0.0045658,0.0294283
"2020",1,7,1,"1_7_1",219.7404348,17.1790208,0.2852655,-0.1643475
"2020",1,7,2,"1_7_2",17.1790208,14.3862064,0.1766477,-0.3106654
"2020",1,7,3,"1_7_3",0.2852655,0.1766477,0.0201723,-0.0009318
"2020",1,7,4,"1_7_4",-0.1643475,-0.3106654,-0.0009318,0.0257293
"2020",1,8,1,"1_8_1",255.4855748,27.3960522,0.1160494,-0.3841723
"2020",1,8,2,"1_8_2",27.3960522,24.4133239,-0.0527688,-0.6073406
"2020",1,8,3,"1_8_3",0.1160494,-0.0527688,0.0308133,0.0178205
"2020",1,8,4,"1_8_4",-0.3841723,-0.6073406,0.0178205,0.0477826
"2020",1,9,1,"1_9_1",284.7318936,0.7717314,-0.0774128,0.3291697
"2020",1,9,2,"1_9_2",0.7717314,30.6197584,0.5729025,-0.8400065
"2020",1,9,3,"1_9_3",-0.0774128,0.5729025,0.0422341,-0.0282903
"2020",1,9,4,"1_9_4",0.3291697,-0.8400065,-0.0282903,0.0695371
"2020",1,10,1,"1_10_1",295.4333834,21.7777258,0.0673986,-0.2808126
"2020",1,10,2,"1_10_2",21.7777258,26.6873541,-0.0382906,-0.7319316
"2020",1,10,3,"1_10_3",0.0673986,-0.0382906,0.0411243,0.0217462
"2020",1,10,4,"1_10_4",-0.2808126,-0.7319316,0.0217462,0.0640607
"2020",1,11,1,"1_11_1",306.8860221,30.8501454,-0.1682085,-0.7955245
"2020",1,11,2,"1_11_2",30.8501454,36.2233577,-0.3015996,-1.1579287
"2020",1,11,3,"1_11_3",-0.1682085,-0.3015996,0.0612549,0.0470408
"2020",1,11,4,"1_11_4",-0.7955245,-1.1579287,0.0470408,0.1000118
"2020",1,12,1,"1_12_1",333.2846897,136.9994007,0,NA
"2020",1,12,2,"1_12_2",136.9994007,687.2220056,0,NA
"2020",1,12,3,"1_12_3",0,0,0,NA
"2020",2,0,1,"2_0_1",110.9246274,-58.3443729,0,NA
"2020",2,0,2,"2_0_2",-58.3443729,360.687848,0,NA
"2020",2,0,3,"2_0_3",0,0,0,NA
"2020",2,1,1,"2_1_1",120.1010711,25.1878819,-0.0451646,-0.6397972
"2020",2,1,2,"2_1_2",25.1878819,51.2207867,0.527378,-1.0509143
"2020",2,1,3,"2_1_3",-0.0451646,0.527378,0.0402161,-0.0065165
"2020",2,1,4,"2_1_4",-0.6397972,-1.0509143,-0.0065165,0.0611072
"2020",2,2,1,"2_2_1",177.6802788,18.8867447,-0.5697766,-0.6126943
"2020",2,2,2,"2_2_2",18.8867447,43.6388833,0.2457424,-0.8301097
"2020",2,2,3,"2_2_3",-0.5697766,0.2457424,0.0410316,0.0056585
"2020",2,2,4,"2_2_4",-0.6126943,-0.8301097,0.0056585,0.0540654
"2020",2,3,1,"2_3_1",214.8579398,-2.9685748,-0.8337861,-0.2063034
"2020",2,3,2,"2_3_2",-2.9685748,33.5770086,0.3568329,-0.7594719
"2020",2,3,3,"2_3_3",-0.8337861,0.3568329,0.0433151,-0.0025423
"2020",2,3,4,"2_3_4",-0.2063034,-0.7594719,-0.0025423,0.0516003
"2020",2,4,1,"2_4_1",218.4658521,-5.0907606,-0.7983897,-0.1637038
"2020",2,4,2,"2_4_2",-5.0907606,24.7933999,0.2432685,-0.6559338
"2020",2,4,3,"2_4_3",-0.7983897,0.2432685,0.0388644,-0.0021325
"2020",2,4,4,"2_4_4",-0.1637038,-0.6559338,-0.0021325,0.0492979
"2020",2,5,1,"2_5_1",206.9770137,-0.0983991,-0.7585575,-0.1964969
"2020",2,5,2,"2_5_2",-0.0983991,29.9815796,0.1201664,-0.6645489
"2020",2,5,3,"2_5_3",-0.7585575,0.1201664,0.0386996,0.0045913
"2020",2,5,4,"2_5_4",-0.1964969,-0.6645489,0.0045913,0.0479982
"2020",2,6,1,"2_6_1",208.7229874,-9.3925427,-0.694026,-0.0477573
"2020",2,6,2,"2_6_2",-9.3925427,27.9921971,0.2382638,-0.5097811
"2020",2,6,3,"2_6_3",-0.694026,0.2382638,0.0354118,-0.0035885
"2020",2,6,4,"2_6_4",-0.0477573,-0.5097811,-0.0035885,0.0363489
"2020",2,7,1,"2_7_1",208.9856629,-5.2097492,-0.5220061,-0.1341815
"2020",2,7,2,"2_7_2",-5.2097492,19.1336017,0.169429,-0.5018603
"2020",2,7,3,"2_7_3",-0.5220061,0.169429,0.0334049,-0.0051501
"2020",2,7,4,"2_7_4",-0.1341815,-0.5018603,-0.0051501,0.0410897
"2020",2,8,1,"2_8_1",217.4074055,13.3134148,-0.5996793,-0.3723268
"2020",2,8,2,"2_8_2",13.3134148,31.4881363,-0.0345531,-0.6689816
"2020",2,8,3,"2_8_3",-0.5996793,-0.0345531,0.0378685,0.0104393
"2020",2,8,4,"2_8_4",-0.3723268,-0.6689816,0.0104393,0.0497764
"2020",2,9,1,"2_9_1",259.9144146,-20.465181,-0.6588738,0.1113203
"2020",2,9,2,"2_9_2",-20.465181,33.3048086,0.5240247,-0.9306579
"2020",2,9,3,"2_9_3",-0.6588738,0.5240247,0.0532188,-0.030756
"2020",2,9,4,"2_9_4",0.1113203,-0.9306579,-0.030756,0.0784464
"2020",2,10,1,"2_10_1",237.8854221,12.3876667,-0.4164902,-0.4630107
"2020",2,10,2,"2_10_2",12.3876667,27.4036126,-0.0766052,-0.7814189
"2020",2,10,3,"2_10_3",-0.4164902,-0.0766052,0.0462169,0.0172601
"2020",2,10,4,"2_10_4",-0.4630107,-0.7814189,0.0172601,0.071568
"2020",2,11,1,"2_11_1",236.7223406,19.9845646,-0.4164302,-0.6422145
"2020",2,11,2,"2_11_2",19.9845646,34.8822121,-0.2056011,-1.0416837
"2020",2,11,3,"2_11_3",-0.4164302,-0.2056011,0.0622759,0.0368306
"2020",2,11,4,"2_11_4",-0.6422145,-1.0416837,0.0368306,0.0942606
"2020",2,12,1,"2_12_1",275.2974565,164.2968163,0,NA
"2020",2,12,2,"2_12_2",164.2968163,670.4002014,0,NA
"2020",2,12,3,"2_12_3",0,0,0,NA
"2020",3,2,1,"3_2_1",206.0813652,-38.8602706,-1.3727723,0.5805691
"2020",3,2,2,"3_2_2",-38.8602706,58.0612689,1.4807215,-1.9180876
"2020",3,2,3,"3_2_3",-1.3727723,1.4807215,0.0806063,-0.0749938
"2020",3,2,4,"3_2_4",0.5805691,-1.9180876,-0.0749938,0.1300607
"2020",3,3,1,"3_3_1",184.2410215,-16.4479362,-0.9661163,0.0822123
"2020",3,3,2,"3_3_2",-16.4479362,33.6618874,0.5816212,-0.8491872
"2020",3,3,3,"3_3_3",-0.9661163,0.5816212,0.0420455,-0.0169906
"2020",3,3,4,"3_3_4",0.0822123,-0.8491872,-0.0169906,0.052725
"2020",3,4,1,"3_4_1",174.1863146,-9.3621195,-0.7792249,-0.0042992
"2020",3,4,2,"3_4_2",-9.3621195,23.5860919,0.2827017,-0.5899328
"2020",3,4,3,"3_4_3",-0.7792249,0.2827017,0.0301193,-0.0062704
"2020",3,4,4,"3_4_4",-0.0042992,-0.5899328,-0.0062704,0.0396377
"2020",3,5,1,"3_5_1",161.8937099,-4.9759009,-0.6811799,0.0204426
"2020",3,5,2,"3_5_2",-4.9759009,23.6025381,0.1851049,-0.5364704
"2020",3,5,3,"3_5_3",-0.6811799,0.1851049,0.0266292,-0.002127
"2020",3,5,4,"3_5_4",0.0204426,-0.5364704,-0.002127,0.0335116
"2020",3,6,1,"3_6_1",158.0105906,-5.8120177,-0.5791126,0.1215818
"2020",3,6,2,"3_6_2",-5.8120177,20.5262063,0.2160192,-0.4342888
"2020",3,6,3,"3_6_3",-0.5791126,0.2160192,0.026302,-0.005476
"2020",3,6,4,"3_6_4",0.1215818,-0.4342888,-0.005476,0.0301996
"2020",3,7,1,"3_7_1",161.8255639,-5.473363,-0.4158243,0.1125912
"2020",3,7,2,"3_7_2",-5.473363,15.4213464,0.1920638,-0.3749057
"2020",3,7,3,"3_7_3",-0.4158243,0.1920638,0.0206411,-0.0053559
"2020",3,7,4,"3_7_4",0.1125912,-0.3749057,-0.0053559,0.0269038
"2020",3,8,1,"3_8_1",162.0586774,5.8619023,-0.426558,-0.1677597
"2020",3,8,2,"3_8_2",5.8619023,22.557539,-0.0679778,-0.5859899
"2020",3,8,3,"3_8_3",-0.426558,-0.0679778,0.0262587,0.012135
"2020",3,8,4,"3_8_4",-0.1677597,-0.5859899,0.012135,0.0412023
"2020",3,9,1,"3_9_1",178.1812297,-9.7784519,-0.4241557,0.3329835
"2020",3,9,2,"3_9_2",-9.7784519,21.051486,0.3994961,-0.6057454
"2020",3,9,3,"3_9_3",-0.4241557,0.3994961,0.0315697,-0.0202205
"2020",3,9,4,"3_9_4",0.3329835,-0.6057454,-0.0202205,0.0456588
"2020",3,10,1,"3_10_1",173.8973423,6.4993262,-0.2182801,-0.1090985
"2020",3,10,2,"3_10_2",6.4993262,18.4804883,-0.0099984,-0.5516725
"2020",3,10,3,"3_10_3",-0.2182801,-0.0099984,0.0277973,0.012247
"2020",3,10,4,"3_10_4",-0.1090985,-0.5516725,0.012247,0.04783
"2020",3,11,1,"3_11_1",171.5988291,15.5592081,-0.3017036,-0.3523392
"2020",3,11,2,"3_11_2",15.5592081,26.9824427,-0.2962331,-0.8940242
"2020",3,11,3,"3_11_3",-0.3017036,-0.2962331,0.0433754,0.0353514
"2020",3,11,4,"3_11_4",-0.3523392,-0.8940242,0.0353514,0.0746477
"2020",4,2,1,"4_2_1",131.5515951,-35.5989785,-1.3519184,1.0188348
"2020",4,2,2,"4_2_2",-35.5989785,45.1634398,1.1479043,-1.5182318
"2020",4,2,3,"4_2_3",-1.3519184,1.1479043,0.0646447,-0.0598529
"2020",4,2,4,"4_2_4",1.0188348,-1.5182318,-0.0598529,0.0963402
"2020",4,3,1,"4_3_1",101.2233898,-15.2803552,-0.6609347,0.5330128
"2020",4,3,2,"4_3_2",-15.2803552,28.6063338,0.5495058,-0.8733092
"2020",4,3,3,"4_3_3",-0.6609347,0.5495058,0.0337445,-0.026797
"2020",4,3,4,"4_3_4",0.5330128,-0.8733092,-0.026797,0.0545778
"2020",4,4,1,"4_4_1",90.8501403,0.6004671,-0.2933803,0.1107572
"2020",4,4,2,"4_4_2",0.6004671,14.2829134,0.1257783,-0.3626327
"2020",4,4,3,"4_4_3",-0.2933803,0.1257783,0.0209056,-0.0035008
"2020",4,4,4,"4_4_4",0.1107572,-0.3626327,-0.0035008,0.0268125
"2020",4,5,1,"4_5_1",91.9506131,3.2944515,-0.2711568,-0.0017447
"2020",4,5,2,"4_5_2",3.2944515,13.7885272,0.0410528,-0.3131287
"2020",4,5,3,"4_5_3",-0.2711568,0.0410528,0.0256329,-0.0004676
"2020",4,5,4,"4_5_4",-0.0017447,-0.3131287,-0.0004676,0.0234
"2020",4,6,1,"4_6_1",93.941161,1.8786386,-0.1994577,0.0358832
"2020",4,6,2,"4_6_2",1.8786386,15.5942797,0.0598708,-0.2936047
"2020",4,6,3,"4_6_3",-0.1994577,0.0598708,0.0235233,-0.0036252
"2020",4,6,4,"4_6_4",0.0358832,-0.2936047,-0.0036252,0.0239926
"2020",4,7,1,"4_7_1",108.4000879,5.0585922,-0.1425393,-0.0258033
"2020",4,7,2,"4_7_2",5.0585922,13.1040435,0.0310063,-0.318026
"2020",4,7,3,"4_7_3",-0.1425393,0.0310063,0.0243868,-0.0022405
"2020",4,7,4,"4_7_4",-0.0258033,-0.318026,-0.0022405,0.0273311
"2020",4,8,1,"4_8_1",120.9622029,15.6039926,-0.3446295,-0.3147833
"2020",4,8,2,"4_8_2",15.6039926,21.5724019,-0.2548827,-0.5942384
"2020",4,8,3,"4_8_3",-0.3446295,-0.2548827,0.0366849,0.019305
"2020",4,8,4,"4_8_4",-0.3147833,-0.5942384,0.019305,0.048987
"2020",4,9,1,"4_9_1",138.6769263,3.7379298,-0.2679738,-0.120841
"2020",4,9,2,"4_9_2",3.7379298,17.7059907,0.1801488,-0.4188339
"2020",4,9,3,"4_9_3",-0.2679738,0.1801488,0.0359092,-0.0189805
"2020",4,9,4,"4_9_4",-0.120841,-0.4188339,-0.0189805,0.0431171
"2020",4,10,1,"4_10_1",141.2396666,17.0234574,-0.2872927,-0.4714011
"2020",4,10,2,"4_10_2",17.0234574,18.0113925,-0.2518804,-0.6052464
"2020",4,10,3,"4_10_3",-0.2872927,-0.2518804,0.041503,0.0158403
"2020",4,10,4,"4_10_4",-0.4714011,-0.6052464,0.0158403,0.0654211
